wmoid	name	prov	lon	lat	high	mlowt	std1	hightsev	std2	hight	lowt	mrain	
50136	漠河	黑龙江	122.37	53.47	296	-47	3	29	2	33	-53	366.1	
50246	塔河	黑龙江	124.72	52.32	357.4	-42	3	29	2	33	-48	497.6	
50353	呼玛	黑龙江	126.65	51.72	177.4	-42	3	30	2	34	-48	437.9	
50425	额尔古纳右旗	内蒙古	120.18	50.25	581.4	-42	3	29	2	33	-48	237	
50434	图里河	内蒙古	121.68	50.48	732.6	-46	2	27	2	31	-50	524.8	
50468	黑河	黑龙江	127.45	50.25	166.4	-37	3	30	2	34	-43	610.5	
50514	满洲里	内蒙古	117.43	49.57	661.7	-37	3	30	2	34	-43	301.5	
50527	海拉尔	内蒙古	119.75	49.22	610.2	-40	3	30	2	34	-46	359.4	
50548	小二沟	内蒙古	123.72	49.2	286.1	-42	3	30	2	34	-48	438.5	
50557	嫩江	黑龙江	125.23	49.17	242.2	-40	3	30	2	34	-46	457.9	
50564	孙吴	黑龙江	127.35	49.43	234.5	-41	4	29	2	33	-49	447.1	
50603	新巴尔虎右旗	内蒙古	116.82	48.67	554.2	-34	3	31	2	35	-40	179.2	
50618	新巴尔虎左旗	内蒙古	118.27	48.22	642	-37	3	31	2	35	-43	294.4	
50632	博克图	内蒙古	121.92	48.77	739.7	-33	3	27	2	31	-39	401.4	
50639	扎兰屯	内蒙古	122.73	48	306.5	-31	3	30	2	34	-37	353.5	
50656	北安	黑龙江	126.52	48.28	269.7	-38	2	30	2	34	-42	550.9	
50658	克山	黑龙江	125.88	48.05	234.6	-36	3	30	2	34	-42	575.9	
50727	阿尔山	内蒙古	119.95	47.17	1027.4	-41	3	26	2	30	-47	581.2	
50742	富裕	黑龙江	124.48	47.8	162.4	-35	3	31	2	35	-41	614.9	
50745	齐齐哈尔	黑龙江	123.92	47.38	145.9	-32	3	31	2	35	-38	371.3	
50756	拜泉	黑龙江	126.97	47.43	239.2	-35	3	30	2	34	-41	635.7	
50758	明水	黑龙江	125.9	47.17	249.2	-33	3	31	2	35	-39	537.9	
51059	吉木乃	新疆	85.87	47.43	984.1	-31	4	30	2	34	-39	197.9	
51068	福海	新疆	87.47	47.12	5500.9	-36	4	33	2	37	-44	155.8	
51076	阿勒泰	新疆	88.08	47.73	735.3	-35	5	32	1	34	-45	202.4	
51133	塔城	新疆	83	46.73	534.9	-30	4	34	2	38	-38	298.3	
51156	和布克赛尔	新疆	85.72	46.78	1291.6	-27	3	29	1	31	-33	116.9	
